NPM,"1. Dari skala 1–4, seberapa sulit penugasan OSADA menurut Anda?",2. Jenis kegiatan apa yang paling membantu dalam pengembangan diri Anda selama kegiatan OSADA?,3. Berapa rata-rata waktu yang Anda habiskan per minggu untuk mengerjakan tugas OSADA?,4. Berapa total jam tidur Anda yang berkurang per minggu selama mengikuti OSADA?,5. Sejauh mana OSADA membantu Anda dalam meningkatkan kedisiplinan?,6. Berapa jumlah presentasi atau kesempatan berbicara di depan umum yang Anda lakukan selama OSADA?,7.  Berapa rata-rata biaya (dalam rupiah) yang Anda keluarkan per minggu selama mengikuti OSADA?,8. Seberapa banyak teman baru yang Anda kenal dari pengkaderan OSADA?,9.  Apakah setelah mengikuti pengkaderan OSADA Anda merasa lebih aktif dalam kegiatan akademik maupun non-akademik di kampus?,10.  Apakah OSADA memberikan motivasi tambahan bagi Anda untuk aktif dalam organisasi lain di kampus?
25083010078,Sangat Sulit,Wawancara HIMASADA,6.0,3.0,Sangat Membantu,0,400000.0,0,Sangat Aktif,Ya
25083010077,Sangat Sulit,Penjelasan Materi di kelas,7.0,3.0,Sangat Tidak Membantu,2,1000000.0,20,Sangat Tidak Aktif,Tidak
25083010076,Sulit,Kerja Kelompok terkait Penugasan OSADA,48.0,0.0,Tidak Membantu,5,200.0,0,Tidak Aktif,Ya
25083010075,Sulit,Wawancara HIMASADA,3.0,1.0,Membantu,1,90000.0,12,Aktif,Ya
25083010073,Sulit,Kerja Kelompok terkait Penugasan OSADA,4.0,0.0,Membantu,0,23.0,50,Tidak Aktif,Tidak
25083010070,Mudah,Kerja Kelompok terkait Penugasan OSADA,5.333333333,5.333333333,Sangat Membantu,4,1000000.0,74,Aktif,Ya
25083010061,Sulit,Penjelasan Materi di kelas,168.0,6.0,Sangat Membantu,1,500.0,30,Aktif,Ya
25083010060,Sulit,Kerja Kelompok terkait Penugasan OSADA,1.5,1.0,Membantu,1,30000.0,40,Aktif,Ya
25083010057,Sangat Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,21.0,10.5,Sangat Membantu,2,150000.0,20,Aktif,Ya
25083010056,Sulit,Penjelasan Materi di kelas,2.5,3.0,Membantu,1,60000.0,140,Aktif,Ya
25083010050,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.5,5.0,Sangat Membantu,2,140000.0,156,Aktif,Ya
25083010049,Mudah,Penjelasan Materi di kelas,5.0,1.0,Sangat Membantu,2,100000.0,30,Aktif,Ya
25083010047,Sulit,Kerja Kelompok terkait Penugasan OSADA,3.916666667,2.0,Membantu,0,20000.0,62,Aktif,Tidak
25083010037,Sulit,Penjelasan Materi di kelas,24.0,2.0,Membantu,0,300000.0,20,Tidak Aktif,Tidak
25083010036,Mudah,Kerja Kelompok terkait Penugasan OSADA,5.0,2.0,Sangat Membantu,3,150000.0,18,Tidak Aktif,Ya
25083010034,Mudah,Kerja Kelompok terkait Penugasan OSADA,6.0,2.333333333,Sangat Membantu,1,200000.0,13,Tidak Aktif,Tidak
25083010029,Sulit,Kerja Kelompok terkait Penugasan OSADA,3.0,2.0,Membantu,2,300.0,50,Aktif,Ya
25083010021,Sulit,Penjelasan Materi di kelas,28.0,21.0,Membantu,1,150000.0,20,Aktif,Ya
25083010016,Sulit,Kerja Kelompok terkait Penugasan OSADA,8.0,2.0,Sangat Membantu,1,50000.0,160,Sangat Aktif,Ya
25083010006,Mudah,Kerja Kelompok terkait Penugasan OSADA,2.5,7.0,Membantu,0,120000.0,50,Aktif,Ya
24083010124,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,30.0,2.0,Sangat Membantu,2,100000.0,60,Aktif,Ya
24083010122,Sangat Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,5.0,Membantu,2,100000.0,127,Aktif,Ya
24083010121,Sulit,Wawancara HIMASADA,2.0,2.0,Membantu,2,20000.0,160,Aktif,Ya
24083010120,Sulit,Penjelasan Materi di kelas,4.0,2.0,Membantu,0,300000.0,100,Aktif,Ya
24083010119,Mudah,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,4.0,3.0,Sangat Membantu,2,75000.0,20,Aktif,Ya
24083010118,Sangat Sulit,Penjelasan Materi di kelas,0.06666666667,2.0,Membantu,0,150.0,121,Aktif,Ya
24083010116,Mudah,Kerja Kelompok terkait Penugasan OSADA,12.0,14.0,Tidak Membantu,6,400000.0,100,Tidak Aktif,Ya
24083010115,Sulit,Kerja Kelompok terkait Penugasan OSADA,1.0,5.0,Membantu,2,50000.0,100,Tidak Aktif,Ya
24083010111,Sangat Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,1.0,28.0,Sangat Membantu,2,100.0,120,Sangat Aktif,Ya
24083010107,Sangat Mudah,Kerja Kelompok terkait Penugasan OSADA,0.6666666667,2.666666667,Sangat Membantu,1,100000.0,119,Aktif,Ya
24083010106,Mudah,Kerja Kelompok terkait Penugasan OSADA,3.0,3.0,Membantu,2,150000.0,150,Aktif,Ya
24083010101,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,4.0,Membantu,1,90000.0,10,Tidak Aktif,Tidak
24083010100,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,10.0,5.0,Membantu,0,150000.0,120,Aktif,Tidak
24083010094,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.5,3.0,Membantu,1,500000.0,120,Tidak Aktif,Ya
24083010092,Sangat Sulit,Kerja Kelompok terkait Penugasan OSADA,2.0,0.0,Tidak Membantu,2,60000.0,20,Aktif,Ya
24083010090,Sangat Sulit,Penjelasan Materi di kelas,5.0,2.0,Sangat Tidak Membantu,0,200000.0,11,Sangat Tidak Aktif,Tidak
24083010089,Sulit,Kerja Kelompok terkait Penugasan OSADA,2.5,3.333333333,Membantu,1,30000.0,40,Tidak Aktif,Ya
24083010088,Mudah,Kerja Kelompok terkait Penugasan OSADA,1.0,2.0,Membantu,1,100000.0,120,Tidak Aktif,Tidak
24083010083,Sulit,Kerja Kelompok terkait Penugasan OSADA,12.0,2.0,Sangat Membantu,1,100000.0,50,Aktif,Ya
24083010080,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,2.0,Sangat Membantu,1,200000.0,80,Aktif,Ya
24083010079,Sulit,Penjelasan Materi di kelas,5.0,2.0,Membantu,3,50000.0,50,Tidak Aktif,Ya
24083010077,Mudah,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,3.0,4.0,Sangat Membantu,1,130000.0,160,Aktif,Ya
24083010071,Sulit,Penjelasan Materi di kelas,2.5,2.0,Sangat Membantu,1,60000.0,120,Tidak Aktif,Tidak
24083010070,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,21.0,21.0,Membantu,1,100000.0,115,Aktif,Ya
24083010065,Mudah,Penjelasan Materi di kelas,2.0,4.0,Membantu,0,50000.0,120,Aktif,Ya
24083010059,Sulit,Kerja Kelompok terkait Penugasan OSADA,3.0,15.0,Sangat Membantu,2,70000.0,120,Aktif,Ya
24083010057,Mudah,Kerja Kelompok terkait Penugasan OSADA,5.0,2.0,Membantu,2,200000.0,60,Aktif,Ya
24083010056,Mudah,Penjelasan Materi di kelas,3.0,4.0,Sangat Membantu,0,25000.0,20,Aktif,Tidak
24083010053,Sulit,Kerja Kelompok terkait Penugasan OSADA,3.0,2.0,Membantu,3,150000.0,120,Aktif,Tidak
24083010046,Mudah,Kerja Kelompok terkait Penugasan OSADA,16.0,4.0,Sangat Membantu,2,200000.0,120,Aktif,Ya
24083010042,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,1.666666667,3.0,Sangat Membantu,2,80000.0,30,Tidak Aktif,Tidak
24083010038,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.5,2.0,Membantu,0,70000.0,35,Tidak Aktif,Tidak
24083010036,Sangat Sulit,Penjelasan Materi di kelas,2.5,6.0,Tidak Membantu,2,150000.0,80,Aktif,Tidak
24083010033,Sangat Mudah,Penjelasan Materi di kelas,12.0,5.0,Sangat Membantu,1,150000.0,15,Aktif,Tidak
24083010029,Mudah,Kerja Kelompok terkait Penugasan OSADA,3.0,4.0,Membantu,1,150000.0,130,Aktif,Ya
24083010025,Sulit,Kerja Kelompok terkait Penugasan OSADA,2.0,3.333333333,Membantu,4,600000.0,20,Tidak Aktif,Ya
24083010020,Sulit,Kerja Kelompok terkait Penugasan OSADA,1.0,4.0,Membantu,0,200000.0,40,Aktif,Ya
24083010019,Sulit,Kerja Kelompok terkait Penugasan OSADA,6.0,2.0,Membantu,1,100000.0,120,Tidak Aktif,Ya
24083010018,Sulit,Kerja Kelompok terkait Penugasan OSADA,2.0,2.0,Membantu,5,200000.0,50,Aktif,Ya
24083010017,Mudah,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,4.0,6.0,Membantu,2,200000.0,130,Tidak Aktif,Ya
24083010014,Sulit,Kerja Kelompok terkait Penugasan OSADA,4.0,2.0,Membantu,1,100000.0,20,Aktif,Ya
24083010013,Mudah,Kerja Kelompok terkait Penugasan OSADA,6.0,7.333333333,Membantu,240,300000.0,100,Aktif,Ya
24083010012,Sangat Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,4.0,Sangat Membantu,0,300000.0,30,Aktif,Ya
24083010004,Sulit,Penjelasan Materi di kelas,3.0,3.0,Membantu,1,100000.0,120,Tidak Aktif,Tidak
24083010002,Mudah,Kerja Kelompok terkait Penugasan OSADA,4.0,3.0,Sangat Membantu,1,50000.0,100,Sangat Aktif,Ya
23083010106,Mudah,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,4.0,Sangat Membantu,3,200000.0,50,Sangat Aktif,Ya
23083010104,Mudah,Kerja Kelompok terkait Penugasan OSADA,3.0,1.0,Membantu,2,100000.0,100,Sangat Aktif,Ya
23083010100,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,6.0,Sangat Membantu,2,150000.0,100,Aktif,Ya
23083010099,Sulit,Kerja Kelompok terkait Penugasan OSADA,5.0,5.0,Membantu,3,200000.0,102,Aktif,Ya
23083010098,Sulit,Kerja Kelompok terkait Penugasan OSADA,25.0,14.0,Membantu,1,120000.0,100,Aktif,Ya
23083010094,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,1.666666667,2.0,Membantu,0,30.0,104,Aktif,Ya
23083010090,Mudah,Kerja Kelompok terkait Penugasan OSADA,2.0,8.0,Sangat Membantu,1,150000.0,20,Sangat Aktif,Ya
23083010086,Sulit,Wawancara HIMASADA,2.0,3.0,Sangat Membantu,1,100000.0,80,Aktif,Ya
23083010085,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.5,2.333333333,Sangat Membantu,1,100000.0,100,Tidak Aktif,Ya
23083010083,Sangat Sulit,Kerja Kelompok terkait Penugasan OSADA,3.0,2.0,Membantu,2,200000.0,106,Aktif,Ya
23083010081,Sulit,Kerja Kelompok terkait Penugasan OSADA,4.0,2.0,Membantu,5,100000.0,80,Tidak Aktif,Ya
23083010076,Sulit,Kerja Kelompok terkait Penugasan OSADA,15.0,12.0,Tidak Membantu,80,120000.0,20,Tidak Aktif,Tidak
23083010074,Mudah,Kerja Kelompok terkait Penugasan OSADA,1.166666667,10.0,Sangat Membantu,5,30000.0,99,Aktif,Ya
23083010072,Sulit,Wawancara HIMASADA,7.666666667,4.0,Sangat Membantu,1,100000.0,50,Aktif,Ya
23083010071,Mudah,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,3.0,3.0,Membantu,2,150000.0,80,Aktif,Ya
23083010069,Sulit,Wawancara HIMASADA,2.5,4.0,Sangat Membantu,5,70000.0,100,Sangat Aktif,Ya
23083010068,Sulit,Wawancara HIMASADA,1.666666667,2.5,Membantu,2,70000.0,100,Aktif,Tidak
23083010067,Sangat Mudah,Kerja Kelompok terkait Penugasan OSADA,60.0,0.0,Sangat Membantu,1,250000.0,15,Aktif,Ya
23083010063,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,25.0,8.333333333,Sangat Membantu,0,200000.0,100,Tidak Aktif,Tidak
23083010059,Sulit,Kerja Kelompok terkait Penugasan OSADA,60.0,1.0,Sangat Membantu,9,100000.0,10,Tidak Aktif,Tidak
23083010056,Sangat Mudah,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,3.0,Tidak Membantu,2,300000.0,110,Sangat Aktif,Tidak
23083010048,Sangat Mudah,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,1.666666667,1.333333333,Sangat Membantu,3,50000.0,47,Sangat Aktif,Ya
23083010046,Mudah,Penjelasan Materi di kelas,2.0,3.0,Sangat Membantu,2,75000.0,10,Aktif,Ya
23083010045,Mudah,Kerja Kelompok terkait Penugasan OSADA,5.0,0.5,Membantu,3,150000.0,95,Aktif,Ya
23083010043,Sulit,Kerja Kelompok terkait Penugasan OSADA,2.0,3.0,Membantu,2,150000.0,50,Aktif,Tidak
23083010029,Sulit,Wawancara HIMASADA,2.0,3.0,Sangat Membantu,1,150000.0,90,Aktif,Ya
23083010028,Sulit,Kerja Kelompok terkait Penugasan OSADA,3.0,3.0,Membantu,3,150000.0,90,Tidak Aktif,Tidak
23083010027,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,16.66666667,11.66666667,Membantu,2,100000.0,100,Aktif,Ya
23083010022,Sulit,Penjelasan Materi di kelas,4.0,14.0,Membantu,1,210000.0,34,Aktif,Ya
23083010020,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.5,2.0,Membantu,1,150000.0,120,Tidak Aktif,Ya
23083010018,Sulit,Kerja Kelompok terkait Penugasan OSADA,10.0,5.0,Sangat Membantu,1,200000.0,70,Aktif,Ya
23083010014,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,2.0,Sangat Membantu,2,120000.0,100,Sangat Aktif,Ya
23083010009,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,2.0,Sangat Membantu,3,300000.0,100,Tidak Aktif,Tidak
23083010006,Sulit,Penjelasan Materi di kelas,10.0,11.66666667,Membantu,3,350000.0,78,Aktif,Ya
23083010004,Sulit,Penjelasan Materi di kelas,5.0,8.0,Sangat Membantu,2,50000.0,12,Tidak Aktif,Tidak
23083010001,Sangat Mudah,Kerja Kelompok terkait Penugasan OSADA,2.0,3.0,Membantu,5,200000.0,50,Sangat Aktif,Ya
22083010109,Sulit,Penjelasan Materi di kelas,4.5,3.0,Membantu,0,120000.0,117,Aktif,Tidak
22083010096,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,1.666666667,0.0,Membantu,1,100000.0,120,Tidak Aktif,Tidak
22083010094,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,3.0,3.0,Membantu,2,150000.0,10,Tidak Aktif,Ya
22083010093,Sulit,Kerja Kelompok terkait Penugasan OSADA,1.666666667,3.333333333,Sangat Membantu,4,100000.0,50,Aktif,Ya
22083010091,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.333333333,3.333333333,Membantu,0,300000.0,100,Aktif,Ya
22083010087,Mudah,Wawancara HIMASADA,1.0,0.5,Tidak Membantu,1,80000.0,60,Tidak Aktif,Tidak
22083010085,Sangat Mudah,Kerja Kelompok terkait Penugasan OSADA,2.5,3.0,Membantu,1,200000.0,120,Aktif,Ya
22083010083,Mudah,Kerja Kelompok terkait Penugasan OSADA,24.0,2.0,Sangat Membantu,5,100000.0,150,Aktif,Tidak
22083010080,Mudah,Kerja Kelompok terkait Penugasan OSADA,1.5,2.0,Tidak Membantu,0,150000.0,20,Tidak Aktif,Tidak
22083010079,Sulit,Wawancara HIMASADA,3.0,5.0,Membantu,0,200000.0,110,Aktif,Ya
22083010078,Sangat Mudah,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,4.0,4.0,Membantu,1,50000.0,120,Aktif,Ya
22083010077,Sangat Mudah,Penjelasan Materi di kelas,2.5,0.5,Sangat Membantu,5,100000.0,115,Sangat Aktif,Ya
22083010076,Mudah,Kerja Kelompok terkait Penugasan OSADA,1.333333333,1.25,Tidak Membantu,10,20000.0,100,Aktif,Ya
22083010075,Mudah,Kerja Kelompok terkait Penugasan OSADA,2.0,2.0,Tidak Membantu,2,150000.0,20,Aktif,Ya
22083010069,Sangat Mudah,Kerja Kelompok terkait Penugasan OSADA,5.0,7.0,Membantu,1,100000.0,50,Aktif,Tidak
22083010068,Sangat Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,4.0,3.0,Tidak Membantu,1,45000.0,80,Sangat Aktif,Ya
22083010065,Sangat Mudah,Kerja Kelompok terkait Penugasan OSADA,2.5,1.0,Sangat Membantu,1,100000.0,112,Sangat Aktif,Ya
22083010064,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,1.666666667,0.0,Membantu,1,25000.0,60,Aktif,Ya
22083010062,Mudah,Kerja Kelompok terkait Penugasan OSADA,2.0,5.0,Membantu,4,70000.0,10,Aktif,Ya
22083010057,Sangat Sulit,Kerja Kelompok terkait Penugasan OSADA,1.0,0.0,Tidak Membantu,5,50000.0,100,Tidak Aktif,Tidak
22083010055,Mudah,Kerja Kelompok terkait Penugasan OSADA,1.5,10.0,Tidak Membantu,1,100000.0,20,Sangat Tidak Aktif,Ya
22083010054,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,0.6666666667,0.0,Tidak Membantu,3,300000.0,110,Sangat Aktif,Ya
22083010053,Sulit,Kerja Kelompok terkait Penugasan OSADA,1.666666667,3.0,Sangat Membantu,0,100000.0,100,Aktif,Tidak
22083010052,Mudah,Penjelasan Materi di kelas,1.5,9.0,Sangat Membantu,3,110000.0,120,Sangat Aktif,Ya
22083010048,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,2.0,Membantu,2,100000.0,100,Aktif,Ya
22083010046,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,1.166666667,Tidak Membantu,0,300000.0,20,Tidak Aktif,Tidak
22083010044,Sulit,Wawancara HIMASADA,3.0,0.0,Membantu,4,350000.0,30,Aktif,Ya
22083010042,Sulit,Wawancara HIMASADA,24.0,1.0,Membantu,0,200000.0,120,Aktif,Ya
22083010041,Sulit,Penjelasan Materi di kelas,2.0,2.0,Membantu,1,100000.0,50,Sangat Aktif,Ya
22083010036,Mudah,Wawancara HIMASADA,3.0,3.0,Sangat Membantu,0,100000.0,15,Aktif,Ya
22083010033,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,0.0,Membantu,1,200000.0,20,Tidak Aktif,Ya
22083010031,Sulit,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,2.0,0.0,Membantu,1,200000.0,20,Aktif,Ya
22083010029,Sangat Sulit,Penjelasan Materi di kelas,8.333333333,8.33333,Sangat Tidak Membantu,7,7.0,10,Sangat Tidak Aktif,Tidak
22083010023,Sangat Sulit,Kerja Kelompok terkait Penugasan OSADA,11.66666667,8.33333,Tidak Membantu,7,200000.0,2,Tidak Aktif,Tidak
22083010015,Mudah,Kerja Kelompok terkait Penugasan OSADA,2.0,1.916666667,Membantu,2,100000.0,115,Aktif,Ya
22083010014,Sangat Mudah,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,1.0,1.0,Sangat Tidak Membantu,0,7500.0,200,Sangat Tidak Aktif,Ya
22083010012,Sangat Sulit,Wawancara HIMASADA,6.0,5.0,Membantu,4,50000.0,120,Tidak Aktif,Ya
22083010010,Mudah,Kerja Kelompok terkait Penugasan OSADA,50.0,2.0,Tidak Membantu,4,100000.0,20,Aktif,Ya
22083010005,Sulit,Penjelasan Materi di kelas,2.0,2.0,Membantu,1,200000.0,20,Aktif,Ya
22083010004,Mudah,Penjelasan Materi di kelas,2.0,2.0,Membantu,2,150000.0,120,Tidak Aktif,Ya
21083010113,Sangat Sulit,Wawancara HIMASADA,0.5,6.0,Membantu,3,300000.0,1,Sangat Aktif,Ya
21083010087,Mudah,Study Case materi: Etika dan Moral dalam Kehidupan Mahasiswa,3.0,1.0,Sangat Membantu,3,0.0,124,Sangat Aktif,Ya
